TABLE SUBTITLE,NUMÉRO,PARAMÈTRE,UNITÉ
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",40,Tendance de la composante nord du vent découlant d'une paramétrisation,m s-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",41,"Composante u, vent géostrophique",m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",42,"Composante v, vent géostrophique",m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",43,Direction du vent géostrophique,Degré vrai
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",44,Vitesse du vent géostrophique,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",45,Composante instable de la divergence,s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",46,Advection de tourbillon,s-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",47-191,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",192-254,En réserve pour un usage local,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",255,Valeur manquante,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",0,Pression,Pa
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",1,Pression réduite au niveau moyen de la mer,Pa
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",2,Tendance barométrique,Pa s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",3,Altitude de référence en atmosphère type (OACI),m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",4,Géopotentiel,m² s-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",5,Hauteur géopotentielle,gpm
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",6,Altitude,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",7,Écart type de l'altitude,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",8,Anomalie de pression,Pa
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",9,Anomalie de hauteur géopotentielle,gpm
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",10,Masse volumique,kg m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",11,Calage de l'altimètre,Pa
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",12,Épaisseur,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",13,Altitude barométrique,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",14,Altitude densimétrique,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",15,Altitude géopotentielle – onde numéro 5,gpm
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",16,Flux zonal de la résistance due aux ondes de gravité,N m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",17,Flux méridional de la résistance due aux ondes de gravité,N m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",18,Altitude de la couche limite planétaire,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",19,Anomalie de l'altitude géopotentielle – onde numéro 5,gpm
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",20,Écart type de l'effet orographique d'échelle inférieure à celle de la grille,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",21,Angle de l'effet orographique d'échelle inférieure à celle de la grille,Rad
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",22,Pente de l'effet orographique d'échelle inférieure à celle de la grille,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",23,Dissipation des ondes de gravité,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",24,Anisotropie de l'effet orographique d'échelle inférieure à celle de la grille,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",25,Logarithme népérien de la pression en Pa,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",26,Pression d'Exner,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",27,Flux de masse en courant ascendant,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",28,Flux de masse en courant descendant,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",29,Taux de détraînement en courant ascendant,kg m-3 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",30,Taux de détraînement en courant descendant,kg m-3 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",31,Composante instable du logarithme de la pression en surface,–
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",32-191,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",192-254,En réserve pour un usage local,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 3: masse",255,Valeur manquante,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",0,Bilan du rayonnement de courte longueur d'onde (surface)*,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",1,Bilan du rayonnement de courte longueur d'onde (sommet de l'atmosphère)*,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",2,Rayonnement de courte longueur d'onde*,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",3,Rayonnement global,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",4,Température de luminance,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",5,Luminance énergétique (en fonction du nombre d'ondes),W m-1 sr-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",6,Luminance énergétique (en fonction de la longueur d'onde),W m-3 sr-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",7,Flux du rayonnement descendant de courte longueur d'onde,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",8,Flux du rayonnement ascendant de courte longueur d'onde,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",9,Bilan du rayonnement de courte longueur d'onde,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",10,Rayonnement photosynthétiquement actif,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",11,Bilan du rayonnement de courte longueur d'onde par ciel clair,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",12,Rayonnement ultraviolet descendant,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",13,Rayonnement direct de courte longueur d'onde,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",14,Rayonnement diffus de courte longueur d'onde,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",15-49,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",50,Indice UV** (ciel dégagé),Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",51,Indice UV**,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",52,Flux du rayonnement descendant de courte longueur d'onde par ciel clair,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",53,Flux du rayonnement ascendant de courte longueur d'onde par ciel clair,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",54-191,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",192-254,En réserve pour un usage local,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",255,Valeur manquante,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 5: rayonnement de grande longueur d'onde",0,Bilan du rayonnement de grande longueur d'onde (surface)*,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 5: rayonnement de grande longueur d'onde",1,Bilan du rayonnement de grande longueur d'onde (sommet de l'atmosphère)*,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 5: rayonnement de grande longueur d'onde",2,Rayonnement de grande longueur d'onde*,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 5: rayonnement de grande longueur d'onde",3,Flux du rayonnement descendant de grande longueur d'onde,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 5: rayonnement de grande longueur d'onde",4,Flux du rayonnement ascendant de grande longueur d'onde,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 5: rayonnement de grande longueur d'onde",5,Bilan du rayonnement de grande longueur d'onde,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 5: rayonnement de grande longueur d'onde",6,Bilan du rayonnement de grande longueur d'onde par ciel clair,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 5: rayonnement de grande longueur d'onde",7,Température de luminance,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 5: rayonnement de grande longueur d'onde",8,Flux du rayonnement descendant de grande longueur d'onde par ciel clair,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 5: rayonnement de grande longueur d'onde",9-191,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 5: rayonnement de grande longueur d'onde",192-254,En réserve pour un usage local,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 5: rayonnement de grande longueur d'onde",255,Valeur manquante,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",0,Teneur en glace des nuages,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",1,Nébulosité totale,%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",2,Nuages de convection,%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",3,Nuages bas,%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",4,Nuages moyens,%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",5,Nuages élevés,%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",6,Teneur en eau des nuages,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",7,Nébulosité,%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",8,Type de nuage,(Table de code 4.203)
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",9,Altitude maximale du sommet des orages,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",10,Étendue des orages,(Table de code 4.204)
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",11,Base des nuages,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",12,Sommet des nuages,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",13,Plafond,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",14,Nébulosité non convective,%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",15,Fonction travail du nuage,J kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",16,Efficacité convective des nuages,Proportion
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",17,Total du condensat*,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",18,Colonne totale intégrée d'eau dans les nuages*,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",19,Colonne totale intégrée de glace dans les nuages*,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",20,Colonne totale intégrée de condensat*,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",21,Proportion de glace dans le condensat total,Proportion
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",22,Nébulosité,%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",23,Rapport de mélange de la glace des nuages*,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",24,Insolation,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",25,Extension horizontale des cumulonimbus (CB),%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",26,Hauteur de la base des nuages convectifs,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",27,Hauteur du sommet des nuages convectifs,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",28,Nombre de gouttelettes par unité de masse d'air dans les nuages,kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",29,Nombre de particules de glace par unité de masse d'air dans les nuages,kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",30,Nombre de gouttelettes par unité de volume d'air dans les nuages,m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",31,Nombre de particules de glace par unité de volume d'air dans les nuages,m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",32,Fraction de la couverture nuageuse,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",33,Durée d'insolation,s
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",34,"Nébulosité effective totale, grande longueur d'onde en surface",Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",35,"Nébulosité effective totale, courte longueur d'onde en surface",Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",36,Fraction couverte par des précipitations stratiformes,Proportion
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",37,Fraction couverte par des précipitations convectives,Proportion
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",38,Masse volumique des gouttelettes dans les nuages,kg m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",39,Masse volumique de la glace dans les nuages,kg m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",40,Masse volumique des gouttelettes d'eau formant les nuages convectifs,kg m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",41-46,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",47,Fraction du volume correspondant aux gouttelettes d'eau des nuages**,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",48,Fraction du volume correspondant aux particules de glace des nuages**,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",49,Fraction du volume correspondant aux nuages (glace et/ou eau)**,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",50-191,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",192-254,En réserve pour un usage local,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 6: nébulosité",255,Valeur manquante,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",0,Indice de soulèvement d'une particule (à 500 hPa),K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",1,Indice de soulèvement optimal (à 500 hPa),K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",2,Indice K,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",3,Indice KO,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",4,Indice total-total,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",5,Indice SWEAT,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",6,Énergie convective potentielle disponible,J kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",7,Inhibition convective,J kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",8,Hélicité relative des orages,J kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",9,Indice d'hélicité de l'énergie,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",10,Indice de soulèvement en surface,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",11,Meilleur indice de soulèvement (4 couches),K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",12,Nombre de Richardson,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",13,Indice de Showalter,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",14,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",15,Hélicité du courant ascendant,m² s-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",16,Nombre global de Richardson,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",17,Nombre de Richardson de gradient,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",18,Nombre de Richardson de flux,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",19,Énergie convective potentielle disponible – cisaillement,m² s-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",20-191,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",192-254,En réserve pour un usage local,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",255,Valeur manquante,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 13: aérosols",0,Type d'aérosol,(Table de code 4.205)
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 13: aérosols",1-191,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 13: aérosols",192-254,En réserve pour un usage local,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 13: aérosols",255,Valeur manquante,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 14: gaz à l'état de trace",0,Ozone total,Dobson
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 14: gaz à l'état de trace",1,Rapport de mélange de l'ozone,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 14: gaz à l'état de trace",2,Colonne intégrée totale d'ozone,Dobson
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 14: gaz à l'état de trace",3-191,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 14: gaz à l'état de trace",192-254,En réserve pour un usage local,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 14: gaz à l'état de trace",255,Valeur manquante,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",0,Largeur du spectre de base,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",1,Réflectivité de base,dB
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",2,Vitesse radiale de base,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",3,Contenu en eau liquide intégré verticalement (VIL),kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",4,Réflectivité maximale de base de la couche,dB
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",5,Précipitations,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",6,Bande radar (1),–
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",7,Bande radar (2),–
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",8,Bande radar (3),–
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",9,Réflectivité des gouttelettes dans les nuages,dB
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",10,Réflectivité de la glace dans les nuages,dB
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",11,Réflectivité de la neige,dB
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",12,Réflectivité de la pluie,dB
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",13,Réflectivité de la neige roulée,dB
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",14,Réflectivité de la grêle,dB
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",15,Réflectivité par balayage hybride,dB
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",16,Altitude de la réflectivité par balayage hybride,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",17-191,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",192-254,En réserve pour un usage local,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",255,Valeur manquante,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 16: images radar prévues",0,Réflectivité radar équivalente pour la pluie,mm6 m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 16: images radar prévues",1,Réflectivité radar équivalente pour la neige,mm6 m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 16: images radar prévues",2,Réflectivité radar équivalente pour la convection paramétrisée,mm6 m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 16: images radar prévues",3,Sommet de l'écho,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 16: images radar prévues",4,Réflectivité,dB
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 16: images radar prévues",5,Réflectivité composite,dB
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 16: images radar prévues",6-191,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 16: images radar prévues",192-254,En réserve pour un usage local,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 16: images radar prévues",255,Valeur manquante,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 17: électrodynamique",0,Densité de foudroiement,m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 17: électrodynamique",1,Indice de risque de foudre (LPI) (voir la note),J kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 17: électrodynamique",2,Densité de foudroiement nuage-sol,km-2 jour-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 17: électrodynamique",3,Densité de foudroiement nuage-nuage,km-2 jour-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 17: électrodynamique",4,Densité totale de foudroiement (voir la note 2),km-2 jour-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",0,Concentration dans l'air du césium 137,Bq m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",1,Concentration dans l'air de l'iode 131,Bq m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",2,Concentration dans l'air du polluant radioactif,Bq m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",3,Dépôt au sol du césium 137,Bq m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",4,Dépôt au sol de l'iode 131,Bq m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",5,Dépôt au sol du polluant radioactif,Bq m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",6,"Concentration dans l'air du césium 137, intégrée dans le temps (voir la note 1)",Bq s m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",7,"Concentration dans l'air de l'iode 131, intégrée dans le temps (voi la note 1)",Bq s m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",8,"Concentration dans l'air du polluant radioactif, intégrée dans le temps (voir la note 1)",Bq s m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",9,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",10,Concentration dans l'air (voir la note 2),Bq m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",11,Dépôts humides,Bq m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",12,Dépôts secs,Bq m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",13,Total des dépôts (humides et secs),Bq m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",14,Activité massique (voir la note 2),Bq kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations",15,Concentration maximale dans l'air par couche,Bq m-3
